net,length_um
clknet_leaf_16_clk,54.8
clknet_leaf_65_clk,54.62
net2,54.42
_0853_,54.02
clknet_leaf_54_clk,53.64
tree_instances\[16\].u_tree.frame_id_out\[4\],53.34
clknet_leaf_15_clk,52.94
tree_instances\[3\].u_tree.frame_id_out\[0\],52.78
_0667_,52.66
tree_instances\[11\].u_tree.frame_id_out\[4\],52.22
_0772_,51.96
clknet_leaf_24_clk,51.68
_1549_,51.42
clknet_leaf_48_clk,51.32
tree_instances\[15\].u_tree.frame_id_out\[0\],51.2
tree_instances\[5\].u_tree.frame_id_out\[3\],50.66
_0885_,50.19
tree_instances\[19\].u_tree.frame_id_out\[3\],49.5
clknet_leaf_1_clk,49.1
_1554_,48.76
clknet_leaf_3_clk,48.52
tree_instances\[17\].u_tree.frame_id_out\[4\],48.32
clknet_leaf_38_clk,48.24
tree_instances\[1\].u_tree.ready_for_next,46.86
tree_instances\[6\].u_tree.frame_id_out\[2\],46.6
clknet_leaf_23_clk,45.7
clknet_leaf_60_clk,45.48
_0773_,45.095
tree_instances\[19\].u_tree.frame_id_out\[1\],44.965
tree_instances\[4\].u_tree.frame_id_out\[1\],44.73
_0757_,44.08
tree_instances\[13\].u_tree.frame_id_out\[1\],43.34
_0671_,43.3
tree_instances\[1\].u_tree.frame_id_out\[0\],43.2
tree_instances\[15\].u_tree.ready_for_next,42.85
tree_instances\[7\].u_tree.frame_id_out\[4\],42.66
_0791_,41.76
tree_instances\[0\].u_tree.frame_id_out\[0\],41.62
_0843_,41.38
tree_instances\[4\].u_tree.frame_id_out\[3\],41.24
tree_instances\[16\].u_tree.frame_id_out\[1\],41.2
_0807_,40.94
tree_instances\[2\].u_tree.frame_id_out\[1\],40.76
_0764_,40.64
tree_instances\[3\].u_tree.frame_id_out\[1\],40.62
_1544_,40.44
clknet_leaf_59_clk,40.34
_0701_,40.22
_0720_,39.9
tree_instances\[9\].u_tree.frame_id_out\[4\],39.7
_1684_,39.3
tree_instances\[12\].u_tree.frame_id_out\[4\],39.3
_1627_,39.24
tree_instances\[16\].u_tree.frame_id_out\[3\],39.2
tree_instances\[2\].u_tree.frame_id_out\[0\],39.115
complete_votes\[3\],38.94
_0852_,38.765
tree_instances\[13\].u_tree.frame_id_out\[0\],38.34
_0911_,38.2
tree_instances\[5\].u_tree.frame_id_out\[2\],38.18
_0756_,37.98
tree_instances\[11\].u_tree.frame_id_out\[3\],37.78
clknet_leaf_70_clk,37.6
_1893_,37.56
clknet_leaf_26_clk,36.91
tree_instances\[13\].u_tree.frame_id_out\[3\],35.94
tree_instances\[18\].u_tree.frame_id_out\[1\],35.93
tree_instances\[0\].u_tree.frame_id_out\[3\],35.22
tree_instances\[10\].u_tree.frame_id_out\[3\],35.16
_0630_,34.26
tree_instances\[19\].u_tree.frame_id_out\[0\],34.26
tree_instances\[3\].u_tree.frame_id_out\[2\],34.04
tree_instances\[4\].u_tree.ready_for_next,33.64
tree_instances\[12\].u_tree.frame_id_out\[3\],33.6
tree_instances\[18\].u_tree.tree_state\[0\],33.38
tree_instances\[6\].u_tree.frame_id_out\[3\],33.16
tree_instances\[2\].u_tree.frame_id_out\[3\],33.12
_1397_,32.92
clknet_leaf_47_clk,31.68
_0612_,31.54
tree_instances\[3\].u_tree.frame_id_out\[3\],31.46
_1443_,31.415
_1765_,31.3
tree_instances\[11\].u_tree.frame_id_out\[1\],30.74
tree_instances\[10\].u_tree.frame_id_out\[0\],30.72
_1902_,30.52
tree_instances\[7\].u_tree.frame_id_out\[0\],30.5
_1763_,29.82
tree_instances\[9\].u_tree.frame_id_out\[2\],29.435
_0638_,29.16
tree_instances\[0\].u_tree.frame_id_out\[2\],29.08
_1647_,29
_0616_,28.96
_1665_,28.9
tree_instances\[12\].u_tree.frame_id_out\[0\],28.78
state\[1\],28.66
tree_instances\[8\].u_tree.ready_for_next,28.54
_0624_,28.52
_1550_,28.22
_0602_,28.21
tree_instances\[9\].u_tree.frame_id_out\[0\],27.96
_0684_,27.76
tree_instances\[13\].u_tree.tree_state\[2\],27.68
tree_instances\[14\].u_tree.ready_for_next,27.21
_1925_,27.2
tree_instances\[17\].u_tree.frame_id_out\[1\],27.18
tree_instances\[16\].u_tree.frame_id_out\[0\],27.17
_1231_,27.06
_0862_,26.88
tree_instances\[3\].u_tree.tree_state\[0\],26.81
tree_instances\[17\].u_tree.frame_id_out\[0\],26.7
_1138_,26.66
_1744_,26.36
_0906_,26.35
_1594_,26.24
_1028_,26.22
clknet_leaf_64_clk,26.22
_0730_,26.16
tree_instances\[14\].u_tree.frame_id_out\[3\],25.98
_0614_,25.88
tree_instances\[8\].u_tree.pipeline_valid\[0\],25.785
tree_instances\[4\].u_tree.frame_id_out\[2\],25.73
_1178_,25.68
_1723_,25.68
tree_instances\[5\].u_tree.frame_id_out\[0\],25.5
tree_instances\[15\].u_tree.frame_id_out\[3\],25.48
tree_instances\[18\].u_tree.frame_id_out\[0\],25.34
tree_instances\[1\].u_tree.frame_id_out\[2\],25.34
_0618_,25.24
_1208_,25.06
tree_instances\[1\].u_tree.prediction_valid,25
_1592_,24.88
_0995_,24.86
_0896_,24.73
_1907_,24.5
tree_instances\[13\].u_tree.tree_state\[3\],24.46
tree_instances\[2\].u_tree.frame_id_out\[2\],24.14
tree_instances\[20\].u_tree.frame_id_out\[3\],24.08
tree_instances\[20\].u_tree.ready_for_next,24.05
_1698_,24
_0739_,23.96
tree_instances\[5\].u_tree.frame_id_out\[1\],23.96
complete_votes\[0\],23.8
tree_instances\[14\].u_tree.pipeline_current_node\[0\]\[8\],23.56
tree_instances\[16\].u_tree.frame_id_out\[2\],23.54
tree_instances\[13\].u_tree.pipeline_current_node\[0\]\[8\],23.52
_1501_,23.46
_0959_,23.4
_1914_,23.32
_0644_,23.22
_1880_,23.08
tree_instances\[11\].u_tree.frame_id_out\[2\],23.08
tree_instances\[18\].u_tree.prediction_valid,23.08
tree_instances\[7\].u_tree.pipeline_current_node\[0\]\[1\],23
net5,23
tree_instances\[6\].u_tree.frame_id_out\[1\],22.73
_1960_,22.615
_0844_,22.46
_0634_,22.44
tree_instances\[20\].u_tree.tree_state\[0\],22.32
_0831_,22.3
_0935_,22.2
tree_instances\[6\].u_tree.frame_id_out\[0\],22.17
tree_instances\[17\].u_tree.tree_state\[0\],22.15
_0740_,22.04
tree_instances\[8\].u_tree.frame_id_out\[3\],21.86
tree_instances\[9\].u_tree.frame_id_out\[3\],21.68
_0606_,21.66
tree_instances\[4\].u_tree.tree_state\[0\],21.54
tree_instances\[9\].u_tree.pipeline_valid\[0\],21.46
tree_instances\[6\].u_tree.tree_state\[0\],21.42
_0884_,21.18
_1810_,21.08
_1824_,21.08
_0066_,21.04
tree_instances\[1\].u_tree.frame_id_out\[1\],21
_1027_,20.8
tree_instances\[4\].u_tree.tree_state\[3\],20.76
_1831_,20.49
tree_instances\[10\].u_tree.tree_state\[0\],20.42
tree_instances\[8\].u_tree.frame_id_out\[1\],20.42
tree_instances\[18\].u_tree.frame_id_out\[2\],20.2
_1254_,20.16
tree_instances\[0\].u_tree.tree_state\[0\],20.045
_1895_,19.86
_1353_,19.84
tree_instances\[14\].u_tree.frame_id_out\[2\],19.82
tree_instances\[19\].u_tree.prediction_valid,19.82
_1853_,19.6
_1887_,19.5
tree_instances\[14\].u_tree.frame_id_out\[0\],19.48
tree_instances\[4\].u_tree.tree_state\[2\],19.46
tree_instances\[20\].u_tree.pipeline_current_node\[0\]\[1\],19.34
tree_instances\[13\].u_tree.frame_id_out\[2\],19.2
tree_instances\[5\].u_tree.prediction_valid,19.02
_1685_,18.84
tree_instances\[11\].u_tree.tree_state\[2\],18.81
_1711_,18.78
_0632_,18.62
_0592_,18.6
_1833_,18.57
_1812_,18.54
tree_instances\[5\].u_tree.pipeline_current_node\[0\]\[6\],18.54
net4,18.48
complete_votes\[2\],18.34
tree_instances\[14\].u_tree.pipeline_frame_id\[0\]\[1\],18.34
_0677_,18.14
_0603_,18.12
tree_instances\[0\].u_tree.ready_for_next,18.11
_1692_,18.08
_1803_,18.04
tree_instances\[17\].u_tree.frame_id_out\[3\],17.94
clknet_leaf_34_clk,17.94
tree_instances\[4\].u_tree.pipeline_valid\[0\],17.74
_1437_,17.62
_1677_,17.6
tree_instances\[0\].u_tree.frame_id_in\[1\],17.6
tree_instances\[17\].u_tree.tree_state\[3\],17.6
_1932_,17.56
tree_instances\[20\].u_tree.tree_state\[1\],17.52
_1969_,17.48
_0620_,17.32
_1569_,17.28
_1631_,17.26
tree_instances\[12\].u_tree.frame_id_out\[2\],17.2
_1877_,17.14
_1951_,17.14
tree_instances\[20\].u_tree.pipeline_frame_id\[0\]\[3\],17.14
tree_instances\[9\].u_tree.pipeline_current_node\[0\]\[4\],17.04
tree_instances\[20\].u_tree.pipeline_current_node\[0\]\[7\],17.02
tree_instances\[7\].u_tree.frame_id_out\[2\],17.02
tree_instances\[5\].u_tree.ready_for_next,17.01
tree_instances\[14\].u_tree.tree_state\[2\],16.94
_0795_,16.88
tree_instances\[13\].u_tree.pipeline_current_node\[0\]\[7\],16.8
tree_instances\[11\].u_tree.tree_state\[0\],16.69
_1566_,16.66
tree_instances\[12\].u_tree.tree_state\[3\],16.6
tree_instances\[20\].u_tree.pipeline_frame_id\[0\]\[1\],16.6
_1523_,16.57
tree_instances\[15\].u_tree.pipeline_frame_id\[0\]\[2\],16.56
tree_instances\[3\].u_tree.tree_state\[2\],16.56
_0640_,16.52
_2084_,16.52
tree_instances\[2\].u_tree.prediction_valid,16.52
tree_instances\[14\].u_tree.tree_state\[0\],16.51
_0636_,16.48
tree_instances\[11\].u_tree.pipeline_current_node\[0\]\[7\],16.48
tree_instances\[9\].u_tree.tree_state\[2\],16.42
complete_votes\[4\],16.4
tree_instances\[20\].u_tree.frame_id_out\[2\],16.4
_0579_,16.32
_0585_,16.32
_0642_,16.32
tree_instances\[19\].u_tree.pipeline_frame_id\[0\]\[0\],16.32
_0068_,16.3
tree_instances\[15\].u_tree.tree_state\[1\],16.3
_0521_,16.28
tree_instances\[20\].u_tree.pipeline_current_node\[0\]\[0\],16.28
tree_instances\[5\].u_tree.pipeline_current_node\[0\]\[8\],16.28
tree_instances\[15\].u_tree.frame_id_out\[1\],16.25
tree_instances\[12\].u_tree.frame_id_out\[1\],16.2
tree_instances\[3\].u_tree.tree_state\[3\],16.18
_1805_,16.14
_0687_,16.12
_1603_,16.1
_0700_,16.02
tree_instances\[8\].u_tree.pipeline_frame_id\[0\]\[0\],16.02
_1633_,16
_1546_,15.98
_0084_,15.96
_2025_,15.94
_1596_,15.88
_1915_,15.86
_1795_,15.78
_1352_,15.7
_1500_,15.7
_1587_,15.64
_1882_,15.64
_0429_,15.6
_1871_,15.6
_1686_,15.58
tree_instances\[2\].u_tree.ready_for_next,15.53
_0627_,15.48
tree_instances\[12\].u_tree.pipeline_frame_id\[0\]\[2\],15.48
_1630_,15.4
tree_instances\[13\].u_tree.pipeline_frame_id\[0\]\[0\],15.4
_0049_,15.36
_1868_,15.34
tree_instances\[20\].u_tree.tree_state\[2\],15.3
tree_instances\[16\].u_tree.ready_for_next,15.21
tree_instances\[10\].u_tree.pipeline_frame_id\[0\]\[0\],15.2
tree_instances\[19\].u_tree.pipeline_frame_id\[0\]\[4\],15.2
tree_instances\[8\].u_tree.pipeline_frame_id\[0\]\[2\],15.2
_0887_,15.18
tree_instances\[11\].u_tree.frame_id_out\[0\],15.1
tree_instances\[16\].u_tree.pipeline_frame_id\[0\]\[2\],15.1
tree_instances\[2\].u_tree.tree_state\[0\],15.07
tree_instances\[4\].u_tree.pipeline_frame_id\[0\]\[1\],15.06
tree_instances\[18\].u_tree.pipeline_frame_id\[0\]\[3\],14.98
_1801_,14.94
_1856_,14.92
_1050_,14.86
tree_instances\[18\].u_tree.tree_state\[2\],14.84
tree_instances\[1\].u_tree.frame_id_out\[3\],14.82
tree_instances\[2\].u_tree.pipeline_frame_id\[0\]\[0\],14.74
_1776_,14.6
_1687_,14.56
_0047_,14.54
_1733_,14.54
tree_instances\[12\].u_tree.tree_state\[2\],14.54
_1888_,14.52
_2081_,14.52
_0154_,14.44
tree_instances\[3\].u_tree.pipeline_frame_id\[0\]\[1\],14.42
tree_instances\[7\].u_tree.pipeline_current_node\[0\]\[8\],14.42
_1578_,14.38
tree_instances\[12\].u_tree.pipeline_valid\[0\],14.38
_1560_,14.34
_1678_,14.34
tree_instances\[3\].u_tree.pipeline_frame_id\[0\]\[3\],14.34
tree_instances\[19\].u_tree.pipeline_frame_id\[0\]\[1\],14.3
_1477_,14.18
tree_instances\[1\].u_tree.tree_state\[1\],14.14
_2047_,14.02
_2075_,14.02
tree_instances\[9\].u_tree.tree_state\[0\],14.02
_1626_,13.94
_2151_,13.9
tree_instances\[18\].u_tree.pipeline_valid\[0\],13.9
tree_instances\[8\].u_tree.frame_id_out\[0\],13.88
_1561_,13.84
_1762_,13.84
tree_instances\[0\].u_tree.tree_state\[2\],13.8
tree_instances\[20\].u_tree.pipeline_frame_id\[0\]\[4\],13.74
tree_instances\[8\].u_tree.tree_state\[0\],13.73
_1669_,13.72
_1859_,13.72
tree_instances\[2\].u_tree.pipeline_frame_id\[0\]\[4\],13.68
tree_instances\[4\].u_tree.pipeline_frame_id\[0\]\[0\],13.68
_1582_,13.66
tree_instances\[1\].u_tree.tree_state\[2\],13.62
tree_instances\[2\].u_tree.pipeline_frame_id\[0\]\[1\],13.6
tree_instances\[5\].u_tree.tree_state\[2\],13.6
tree_instances\[18\].u_tree.pipeline_current_node\[0\]\[6\],13.58
tree_instances\[0\].u_tree.pipeline_frame_id\[0\]\[0\],13.57
_2087_,13.56
_1065_,13.5
_1090_,13.5
_1782_,13.5
tree_instances\[16\].u_tree.pipeline_frame_id\[0\]\[3\],13.5
tree_instances\[15\].u_tree.pipeline_current_node\[0\]\[7\],13.48
tree_instances\[2\].u_tree.tree_state\[3\],13.46
_0716_,13.44
_1095_,13.42
tree_instances\[19\].u_tree.tree_state\[3\],13.42
_0921_,13.4
_1053_,13.4
tree_instances\[10\].u_tree.frame_id_out\[2\],13.4
_0824_,13.38
tree_instances\[0\].u_tree.pipeline_current_node\[0\]\[8\],13.38
tree_instances\[9\].u_tree.frame_id_out\[1\],13.38
_0525_,13.28
_1253_,13.26
_2044_,13.26
_1572_,13.24
tree_instances\[13\].u_tree.pipeline_frame_id\[0\]\[4\],13.24
tree_instances\[7\].u_tree.frame_id_out\[1\],13.22
_0438_,13.2
tree_instances\[12\].u_tree.pipeline_current_node\[0\]\[8\],13.2
tree_instances\[12\].u_tree.prediction_valid,13.16
tree_instances\[20\].u_tree.frame_id_out\[1\],13.14
tree_instances\[3\].u_tree.pipeline_frame_id\[0\]\[0\],13.14
tree_instances\[6\].u_tree.pipeline_current_node\[0\]\[3\],13.14
_1140_,13.12
tree_instances\[0\].u_tree.frame_id_out\[4\],13.12
_2064_,13.1
_1715_,13.08
_1862_,13.06
tree_instances\[15\].u_tree.pipeline_current_node\[0\]\[0\],13.06
tree_instances\[18\].u_tree.pipeline_frame_id\[0\]\[0\],13.04
tree_instances\[3\].u_tree.prediction_valid,13.04
_1681_,13.02
_1788_,13
tree_instances\[5\].u_tree.tree_state\[0\],12.99
tree_instances\[7\].u_tree.tree_state\[2\],12.98
tree_instances\[7\].u_tree.prediction_valid,12.96
tree_instances\[14\].u_tree.pipeline_current_node\[0\]\[4\],12.92
tree_instances\[6\].u_tree.tree_state\[3\],12.92
_1704_,12.84
tree_instances\[15\].u_tree.pipeline_frame_id\[0\]\[1\],12.84
_1703_,12.76
_1741_,12.76
tree_instances\[6\].u_tree.pipeline_frame_id\[0\]\[2\],12.76
tree_instances\[0\].u_tree.prediction_valid,12.75
_0053_,12.74
tree_instances\[15\].u_tree.tree_state\[3\],12.72
tree_instances\[8\].u_tree.pipeline_current_node\[0\]\[7\],12.72
_0748_,12.7
tree_instances\[2\].u_tree.tree_state\[2\],12.7
tree_instances\[20\].u_tree.pipeline_current_node\[0\]\[8\],12.68
_0924_,12.64
_0081_,12.62
tree_instances\[11\].u_tree.pipeline_current_node\[0\]\[2\],12.62
